Категория (Номер/ID/Название);Производитель;Модель;Производитель(модель);Наименование без применения;Наименование товара;Цена;Изображение;ОЕМ;Код детали;Примечание;Совместимость;Замены;Title Изображения;Title страницы;Год;Склад;guid
Кузов наружные элементы;Skoda;Octavia (A5 1Z-) 2004-2013;Skoda Octavia (A5 1Z-) 2004-2013;Уплотнитель стекла задней правой двери;Уплотнитель стекла задней правой двери Skoda Octavia (A5 1Z-) 2004-2013;900;https://i04.softrazborki.net/px1j4rd8/59283.JPG,https://i04.softrazborki.net/px1j4rd8/59284.JPG;1Z9839479B;9400;ВНУТРЕНЯЯ БАРХОТКА;;;Уплотнитель стекла задней правой двери Skoda Octavia (A5 1Z-) 2004-2013;Уплотнитель стекла задней правой двери Skoda Octavia (A5 1Z-) 2004-2013;2006;Брянск\ГС\2.7.В.2;26003
Кузов внутри;Skoda;Octavia (A4 1U-) 2000-2011;Skoda Octavia (A4 1U-) 2000-2011;Ручка двери задней внутренняя левая;Ручка двери задней внутренняя левая Skoda Octavia (A4 1U-) 2000-2011;750;;1U4839247B;52-41;;;;Ручка двери задней внутренняя левая Skoda Octavia (A4 1U-) 2000-2011;Ручка двери задней внутренняя левая Skoda Octavia (A4 1U-) 2000-2011;;Фрунзе 93;41
Сопутствующие товары;Skoda;Octavia (A4 1U-) 2000-2011;Skoda Octavia (A4 1U-) 2000-2011;Гайка;Гайка Skoda Octavia (A4 1U-) 2000-2011;225;https://i04.softrazborki.net/px1j4rd8/19566.jpg;321201375A;72-220;топливного насоса;;;Гайка Skoda Octavia (A4 1U-) 2000-2011;Гайка Skoda Octavia (A4 1U-) 2000-2011;2006;Брянск\ГС;42
Оптика;Ford;Focus II 2005-2008;Ford Focus II 2005-2008;Фонарь задний правый;Фонарь задний правый Ford Focus II 2005-2008;4000;https://i01.softrazborki.net/px1j4rd8/114054.jpg,https://i01.softrazborki.net/px1j4rd8/114055.jpg,https://i01.softrazborki.net/px1j4rd8/114056.jpg,https://i01.softrazborki.net/px1j4rd8/114058.jpg,https://i01.softrazborki.net/px1j4rd8/114059.jpg,https://i01.softrazborki.net/px1j4rd8/114060.jpg,https://i01.softrazborki.net/px1j4rd8/114061.jpg,https://i01.softrazborki.net/px1j4rd8/114062.jpg;1333832;;;Ford Focus II 2008-2011;5M5113404B;Фонарь задний правый Ford Focus II 2005-2008;Фонарь задний правый Ford Focus II 2005-2008;;Брянск\ГС\24B1;37667
Кузов внутри;Ford;C-MAX 2003-2011;Ford C-MAX 2003-2011;Панель приборов;Панель приборов Ford C-MAX 2003-2011;4500;https://i01.softrazborki.net/px1j4rd8/71816.jpg,https://i01.softrazborki.net/px1j4rd8/71814.jpg,https://i01.softrazborki.net/px1j4rd8/71815.jpg,https://i01.softrazborki.net/px1j4rd8/71817.jpg;3M5F10A855A;67-188;;;;Панель приборов Ford C-MAX 2003-2011;Панель приборов Ford C-MAX 2003-2011;2006;Брянск\ГС\2.2.В.3;29051
Кузов внутри;Mitsubishi;Outlander XL (CW) 2006-2012;Mitsubishi Outlander XL (CW) 2006-2012;Стеклоподъемник электр. задний левый;Стеклоподъемник электр. задний левый Mitsubishi Outlander XL (CW) 2006-2012;1700;https://i04.softrazborki.net/px1j4rd8/51882.JPG;5743A049;;;;;Стеклоподъемник электр. задний левый Mitsubishi Outlander XL (CW) 2006-2012;Стеклоподъемник электр. задний левый Mitsubishi Outlander XL (CW) 2006-2012;2007;Брянск\ГС\22C2;24463
Кузов внутри;Ford;S-MAX 2006-2015;Ford S-MAX 2006-2015;Накладка ручки внутренней;Накладка ручки внутренней Ford S-MAX 2006-2015;500;https://i04.softrazborki.net/px1j4rd8/57171.jpg,https://i04.softrazborki.net/px1j4rd8/57172.jpg;1856346;307-65;задняя левая дверь;;6M21U226A37;Накладка ручки внутренней Ford S-MAX 2006-2015;Накладка ручки внутренней Ford S-MAX 2006-2015;;Брянск\ГС\2.4.В.4;25522
Подвеска передних колёс;VW;Passat (B3) 1988-1993;VW Passat (B3) 1988-1993;Балка под радиатор;Балка под радиатор VW Passat (B3) 1988-1993;1500;;3A0199171B;5375;;;;Балка под радиатор VW Passat (B3) 1988-1993;Балка под радиатор VW Passat (B3) 1988-1993;;Брянск\ГС;44
Электрооснащение;Skoda;Octavia (A5 1Z-) 2004-2013;Skoda Octavia (A5 1Z-) 2004-2013;Кнопка стеклоподъемника;Кнопка стеклоподъемника Skoda Octavia (A5 1Z-) 2004-2013;600;;1Z0959855;105-35;задняя левая;;1Z0959855,1Z09598553X1,1Z0959855REH;Кнопка стеклоподъемника Skoda Octavia (A5 1Z-) 2004-2013;Кнопка стеклоподъемника Skoda Octavia (A5 1Z-) 2004-2013;2008;Брянск\ГС;11675
Система охлаждения;Opel;Astra H / Family 2004-2015;Opel Astra H / Family 2004-2015;Радиатор основной;Радиатор основной Opel Astra H / Family 2004-2015;3500;https://i01.softrazborki.net/px1j4rd8/85220.jpg,https://i01.softrazborki.net/px1j4rd8/85221.jpg,https://i01.softrazborki.net/px1j4rd8/85222.jpg,https://i01.softrazborki.net/px1j4rd8/85223.jpg,https://i01.softrazborki.net/px1j4rd8/85224.jpg,https://i01.softrazborki.net/px1j4rd8/85225.jpg;13145211 ;;;;13145211,13171429;Радиатор основной Opel Astra H / Family 2004-2015;Радиатор основной Opel Astra H / Family 2004-2015;;Лобня\4B4;31583
Электрооснащение;Mazda;Mazda 3 (BL) 2009-2013;Mazda Mazda 3 (BL) 2009-2013;Проводка (коса);Проводка (коса) Mazda Mazda 3 (BL) 2009-2013;1000;https://i04.softrazborki.net/px1j4rd8/58540.JPG,https://i04.softrazborki.net/px1j4rd8/58541.JPG,https://i04.softrazborki.net/px1j4rd8/58542.JPG,https://i04.softrazborki.net/px1j4rd8/58543.JPG;BBW867210B;332-82;ЗАДНЕЙ ПРАВОЙ ДВЕРИ;;;Проводка (коса) Mazda Mazda 3 (BL) 2009-2013;Проводка (коса) Mazda Mazda 3 (BL) 2009-2013;2012;Брянск\ГС\3 этаж;25869
Система охлаждения;Skoda;Octavia (A4 1U-) 2000-2011;Skoda Octavia (A4 1U-) 2000-2011;Патрубок охлаждения;Патрубок охлаждения Skoda Octavia (A4 1U-) 2000-2011;750;;1J0123073BS;72-1021;;;;Патрубок охлаждения Skoda Octavia (A4 1U-) 2000-2011;Патрубок охлаждения Skoda Octavia (A4 1U-) 2000-2011;2006;Брянск\ГС;11498
Система кондиционирования;Opel;Astra J 2010 -;Opel Astra J 2010 -;Датчик кондиционера;Датчик кондиционера Opel Astra J 2010 -;900;https://i01.softrazborki.net/px1j4rd8/86419.jpg,https://i01.softrazborki.net/px1j4rd8/86420.jpg;13502758;;;;1236587,13502759,13587668,22678731;Датчик кондиционера Opel Astra J 2010 -;Датчик кондиционера Opel Astra J 2010 -;;Лобня\1C4B;31810
Кузов внутри;Ford;Mondeo IV 2007-2015;Ford Mondeo IV 2007-2015;Стеклоподъемник механ. задний правый;Стеклоподъемник механ. задний правый Ford Mondeo IV 2007-2015;2250;;1803929;63-145;;;1461664,1464715,1482806,1491424,1502700,1523711,1722863,1776579,7S71A27000AD,7S71A27000AE,7S71A27000AF,7S71A27000AG,7S71A27000AH,7S71A27000AJ,7S71A27000AK,7S71A27000AL,7S71A27000AM;Стеклоподъемник механ. задний правый Ford Mondeo IV 2007-2015;Стеклоподъемник механ. задний правый Ford Mondeo IV 2007-2015;2008;Брянск\ГС;47
Двигатель;Mitsubishi;Lancer (CX, CY) 2007 >;Mitsubishi Lancer (CX, CY) 2007 >;Натяжитель ремня;Натяжитель ремня Mitsubishi Lancer (CX, CY) 2007 >;750;https://i04.softrazborki.net/px1j4rd8/2208.jpg;1345A059;4092;без ролика;;1345A051;Натяжитель ремня Mitsubishi Lancer (CX, CY) 2007 >;Натяжитель ремня Mitsubishi Lancer (CX, CY) 2007 >;;Брянск\ГС;48
Кузов наружные элементы;Volvo;XC90 2002-2014;Volvo XC90 2002-2014;Накладка арки задней левой;Накладка арки задней левой Volvo XC90 2002-2014;3000;https://i01.softrazborki.net/px1j4rd8/77948.jpg,https://i01.softrazborki.net/px1j4rd8/77949.jpg;30794162;;;;;Накладка арки задней левой Volvo XC90 2002-2014;Накладка арки задней левой Volvo XC90 2002-2014;2010;Лобня\4D2;30046
Кузов наружные элементы;VW;New Beetle 1998-2010;VW New Beetle 1998-2010;Бампер передний;Бампер передний VW New Beetle 1998-2010;8300;https://i04.softrazborki.net/px1j4rd8/47716.JPG,https://i04.softrazborki.net/px1j4rd8/47717.JPG,https://i04.softrazborki.net/px1j4rd8/47718.JPG,https://i04.softrazborki.net/px1j4rd8/47719.JPG,https://i04.softrazborki.net/px1j4rd8/47720.JPG,https://i04.softrazborki.net/px1j4rd8/47721.JPG,https://i04.softrazborki.net/px1j4rd8/47722.JPG,https://i04.softrazborki.net/px1j4rd8/47723.JPG,https://i04.softrazborki.net/px1j4rd8/47724.JPG,https://i04.softrazborki.net/px1j4rd8/47725.JPG,https://i04.softrazborki.net/px1j4rd8/47726.JPG,https://i04.softrazborki.net/px1j4rd8/47727.JPG,https://i04.softrazborki.net/px1j4rd8/47728.JPG;1C0807221CGRU;214-231;в сборе с указателями поворта, решетки нижней нет;;1C0807221C;Бампер передний VW New Beetle 1998-2010;Бампер передний VW New Beetle 1998-2010;;Брянск\ГС\2.5.А.2;19095
Кузов внутри;Ford;Focus II 2008-2011;Ford Focus II 2008-2011;Ручка двери внутренняя правая;Ручка двери внутренняя правая Ford Focus II 2008-2011;600;;3M51R22600AA;60-141;;Ford Focus II 2005-2008;1251870;Ручка двери внутренняя правая Ford Focus II 2008-2011;Ручка двери внутренняя правая Ford Focus II 2008-2011;2009;Брянск\ГС\2.4.А.5;49
Кузов наружные элементы;Peugeot;308 2007-2011;Peugeot 308 2007-2011;Панель передняя телевизор;Панель передняя телевизор Peugeot 308 2007-2011;6000;https://i01.softrazborki.net/px1j4rd8/89130.JPG,https://i01.softrazborki.net/px1j4rd8/89119.JPG,https://i01.softrazborki.net/px1j4rd8/89116.JPG,https://i01.softrazborki.net/px1j4rd8/89117.JPG,https://i01.softrazborki.net/px1j4rd8/89118.JPG,https://i01.softrazborki.net/px1j4rd8/89120.JPG,https://i01.softrazborki.net/px1j4rd8/89121.JPG,https://i01.softrazborki.net/px1j4rd8/89122.JPG,https://i01.softrazborki.net/px1j4rd8/89123.JPG,https://i01.softrazborki.net/px1j4rd8/89124.JPG,https://i01.softrazborki.net/px1j4rd8/89125.JPG,https://i01.softrazborki.net/px1j4rd8/89126.JPG,https://i01.softrazborki.net/px1j4rd8/89127.JPG,https://i01.softrazborki.net/px1j4rd8/89128.JPG,https://i01.softrazborki.net/px1j4rd8/89129.JPG,https://i01.softrazborki.net/px1j4rd8/89131.JPG,https://i01.softrazborki.net/px1j4rd8/89132.JPG,https://i01.softrazborki.net/px1j4rd8/89133.JPG,https://i01.softrazborki.net/px1j4rd8/89134.JPG;7104V2;;Есть повреждения (СМ ФОТО);Citroen C4 2005-2011,Peugeot 307 2001-2007;7104GH,7104HG,7104HH,7104V2,7104V3,7416J3,9650316080,9676568780;Панель передняя телевизор Peugeot 308 2007-2011;Панель передняя телевизор Peugeot 308 2007-2011;2008;Лобня\4A4;32266
Система выпуска отработанных газов;Audi;80/90 (B2) 1978-1986;Audi 80/90 (B2) 1978-1986;Прокладка глушителя;Прокладка глушителя Audi 80/90 (B2) 1978-1986;270;https://i04.softrazborki.net/px1j4rd8/16666.jpg;100706016;;;VW Golf I/Jetta I > 1983;;Прокладка глушителя Audi 80/90 (B2) 1978-1986;Прокладка глушителя Audi 80/90 (B2) 1978-1986;;Брянск\ГС;51
Двигатель;Opel;Astra H / Family 2004-2015;Opel Astra H / Family 2004-2015;Радиатор маслоохладитель;Радиатор маслоохладитель Opel Astra H / Family 2004-2015;2250;https://i04.softrazborki.net/px1j4rd8/23904.JPG,https://i04.softrazborki.net/px1j4rd8/23905.JPG;55355603;106-72;1.8;Chevrolet Orlando 2011-,Opel Astra J 2010 -,Opel Meriva 2003-2010,Opel Vectra C 2002 -,Opel Zafira B 2005-2012,Chevrolet Cruze 2009 - 2015;;Радиатор маслоохладитель Opel Astra H / Family 2004-2015;Радиатор маслоохладитель Opel Astra H / Family 2004-2015;;Брянск\ГС;11752
Электрооснащение;Mercedes Benz;W220 S-Class 1998-2005;Mercedes Benz W220 S-Class 1998-2005;Сигнал звуковой;Сигнал звуковой Mercedes Benz W220 S-Class 1998-2005;1050;https://i04.softrazborki.net/px1j4rd8/27304.JPG;A0065429020;124-06;высокий тон;;0065429020;Сигнал звуковой Mercedes Benz W220 S-Class 1998-2005;Сигнал звуковой Mercedes Benz W220 S-Class 1998-2005;2000;Брянск\ГС;13167
Кузов внутри;Mercedes Benz;W219 CLS 2004-2010;Mercedes Benz W219 CLS 2004-2010;Замок капота;Замок капота Mercedes Benz W219 CLS 2004-2010;900;https://i01.softrazborki.net/px1j4rd8/109292.JPG,https://i01.softrazborki.net/px1j4rd8/109293.JPG;2118800360 ;;L=R;Mercedes Benz W211 E-Klasse 2002-2009;;Замок капота Mercedes Benz W219 CLS 2004-2010;Замок капота Mercedes Benz W219 CLS 2004-2010;;Лобня\1D2B;36667
Электрооснащение;VW;Passat (B6) 2005-2010;VW Passat (B6) 2005-2010;Проводка (коса);Проводка (коса) VW Passat (B6) 2005-2010;1000;https://i01.softrazborki.net/px1j4rd8/69032.jpg,https://i01.softrazborki.net/px1j4rd8/69033.jpg,https://i01.softrazborki.net/px1j4rd8/69034.jpg;3C2971120;10576;Двери передней правой.;;;Проводка (коса) VW Passat (B6) 2005-2010;Проводка (коса) VW Passat (B6) 2005-2010;2006;Брянск\ГС\2.4.А.5;28496
Кузов наружные элементы;Renault;Kangoo 2008>;Renault Kangoo 2008>;Усилитель переднего бампера;Усилитель переднего бампера Renault Kangoo 2008>;2000;https://i01.softrazborki.net/px1j4rd8/70930.jpg,https://i01.softrazborki.net/px1j4rd8/70931.jpg,https://i01.softrazborki.net/px1j4rd8/70932.jpg,https://i01.softrazborki.net/px1j4rd8/70933.jpg;8200501555;314-06;усилитель бампера пластиковый;;;Усилитель переднего бампера Renault Kangoo 2008>;Усилитель переднего бампера Renault Kangoo 2008>;2010;Брянск\ГС\2.6.В.4;24064
Кузов внутри;Opel;Astra J 2010 -;Opel Astra J 2010 -;Обшивка двери багажника;Обшивка двери багажника Opel Astra J 2010 -;500;;13294211;218-46;нижняя хэтчбек 5 дверей;;;Обшивка двери багажника Opel Astra J 2010 -;Обшивка двери багажника Opel Astra J 2010 -;2010;Брянск\ГС;21885
Кузов внутри;Mazda;Mazda 3 (BL) 2009-2013;Mazda Mazda 3 (BL) 2009-2013;Стеклоподъемник электр. задний левый;Стеклоподъемник электр. задний левый Mazda Mazda 3 (BL) 2009-2013;1000;https://i04.softrazborki.net/px1j4rd8/5